lat,lon,ele,name,text_date,text_time,t
27.915248,98.669726,1480.42,,2019-11-10,10:37:00,38220
27.914792,98.669183,1480.61,,2019-11-10,10:37:03,38223
27.914349,98.668635,1480.24,,2019-11-10,10:37:06,38226
27.913944,98.668023,1480.84,,2019-11-10,10:37:09,38229
27.913569,98.667367,1481.06,,2019-11-10,10:37:12,38232
27.913207,98.666699,1482.81,,2019-11-10,10:37:15,38235
27.912931,98.665999,1484.61,,2019-11-10,10:37:18,38238
27.91265,98.665282,1485.0,,2019-11-10,10:37:21,38241
27.912339,98.664538,1484.89,,2019-11-10,10:37:24,38244
27.912093,98.663729,1484.83,,2019-11-10,10:37:27,38247
27.911771,98.662931,1485.19,,2019-11-10,10:37:30,38250
27.911411,98.662189,1484.45,,2019-11-10,10:37:33,38253
27.910983,98.661554,1485.71,,2019-11-10,10:37:36,38256
27.91048,98.660984,1485.57,,2019-11-10,10:37:39,38259
27.90993,98.660488,1486.34,,2019-11-10,10:37:42,38262
27.909297,98.660144,1488.21,,2019-11-10,10:37:45,38265
27.908659,98.659979,1489.61,,2019-11-10,10:37:48,38268
27.908136,98.659783,1489.88,,2019-11-10,10:37:51,38271
27.907713,98.659442,1492.66,,2019-11-10,10:37:54,38274
27.907236,98.659213,1493.85,,2019-11-10,10:37:57,38277
27.906763,98.659161,1495.16,,2019-11-10,10:38:00,38280
27.906321,98.659348,1495.1,,2019-11-10,10:38:03,38283
27.905891,98.659516,1495.5,,2019-11-10,10:38:06,38286
27.905461,98.65943,1496.44,,2019-11-10,10:38:09,38289
27.905012,98.659279,1496.62,,2019-11-10,10:38:12,38292
27.904511,98.659313,1494.2,,2019-11-10,10:38:15,38295
27.904016,98.659465,1496.3,,2019-11-10,10:38:18,38298
27.903499,98.659728,1497.18,,2019-11-10,10:38:21,38301
27.902956,98.65999,1495.4,,2019-11-10,10:38:24,38304
27.902398,98.660164,1495.46,,2019-11-10,10:38:27,38307
